Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Correlate
1,1/30/2020,6:00 PM,Kerala,1,0,0,0,1,0
2,1/31/2020,6:00 PM,Kerala,1,0,0,0,1,0
3,2/1/2020,6:00 PM,Kerala,2,0,0,0,2,0
4,2/2/2020,6:00 PM,Kerala,3,0,0,0,3,0
5,2/3/2020,6:00 PM,Kerala,3,0,0,0,3,0
6,2/4/2020,6:00 PM,Kerala,3,0,0,0,3,0
7,2/5/2020,6:00 PM,Kerala,3,0,0,0,3,0
8,2/6/2020,6:00 PM,Kerala,3,0,0,0,3,0
9,2/7/2020,6:00 PM,Kerala,3,0,0,0,3,0
10,2/8/2020,6:00 PM,Kerala,3,0,0,0,3,0
11,2/9/2020,6:00 PM,Kerala,3,0,0,0,3,0
12,2/10/2020,6:00 PM,Kerala,3,0,0,0,3,0
13,2/11/2020,6:00 PM,Kerala,3,0,0,0,3,0
14,2/12/2020,6:00 PM,Kerala,3,0,0,0,3,0
15,2/13/2020,6:00 PM,Kerala,3,0,0,0,3,0
16,2/14/2020,6:00 PM,Kerala,3,0,0,0,3,0
17,2/15/2020,6:00 PM,Kerala,3,0,0,0,3,0
18,2/16/2020,6:00 PM,Kerala,3,0,0,0,3,0
19,2/17/2020,6:00 PM,Kerala,3,0,0,0,3,0
20,2/18/2020,6:00 PM,Kerala,3,0,0,0,3,0
21,2/19/2020,6:00 PM,Kerala,3,0,0,0,3,0
22,2/20/2020,6:00 PM,Kerala,3,0,0,0,3,0
23,2/21/2020,6:00 PM,Kerala,3,0,0,0,3,0
24,2/22/2020,6:00 PM,Kerala,3,0,0,0,3,0
25,2/23/2020,6:00 PM,Kerala,3,0,0,0,3,0
26,2/24/2020,6:00 PM,Kerala,3,0,0,0,3,0
27,2/25/2020,6:00 PM,Kerala,3,0,0,0,3,0
28,2/26/2020,6:00 PM,Kerala,3,0,0,0,3,0
29,2/27/2020,6:00 PM,Kerala,3,0,0,0,3,0
30,2/28/2020,6:00 PM,Kerala,3,0,0,0,3,0
31,2/29/2020,6:00 PM,Kerala,3,0,0,0,3,0
32,3/1/2020,6:00 PM,Kerala,3,0,0,0,3,0
33,3/2/2020,6:00 PM,Telengana,1,0,0,0,1,0
34,3/2/2020,6:00 PM,Kerala,3,0,0,0,3,0
35,3/2/2020,6:00 PM,Delhi,1,0,0,0,1,0
36,3/3/2020,6:00 PM,Telengana,1,0,0,0,1,0
37,3/3/2020,6:00 PM,Rajasthan,0,1,0,0,1,0
38,3/3/2020,6:00 PM,Kerala,3,0,3,0,3,0
39,3/3/2020,6:00 PM,Delhi,1,0,0,0,1,0
40,3/4/2020,6:00 PM,Uttar Pradesh,6,0,0,0,6,0
41,3/4/2020,6:00 PM,Kerala,3,0,3,0,3,0
42,3/4/2020,6:00 PM,Haryana,0,2,0,0,2,0
43,3/4/2020,6:00 PM,Delhi,1,0,0,0,1,0
44,3/4/2020,6:00 PM,Telengana,1,0,0,0,1,0
45,3/4/2020,6:00 PM,Rajasthan,1,14,0,0,15,0
46,3/5/2020,6:00 PM,Delhi,2,0,0,0,2,0
47,3/5/2020,6:00 PM,Haryana,0,2,0,0,2,0
48,3/5/2020,6:00 PM,Kerala,3,0,3,0,3,0
49,3/5/2020,6:00 PM,Rajasthan,1,14,0,0,15,0
50,3/5/2020,6:00 PM,Telengana,1,0,0,0,1,0
51,3/5/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,0
52,3/6/2020,6:00 PM,Delhi,3,0,0,0,3,0
53,3/6/2020,6:00 PM,Haryana,0,2,0,0,2,0
54,3/6/2020,6:00 PM,Kerala,3,0,3,0,3,0
55,3/6/2020,6:00 PM,Rajasthan,1,14,0,0,15,0
56,3/6/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,0
57,3/6/2020,6:00 PM,Telengana,1,0,0,0,1,0
58,3/7/2020,6:00 PM,Kerala,3,0,3,0,3,0
59,3/7/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,0
60,3/7/2020,6:00 PM,Ladakh,2,0,0,0,2,0
61,3/7/2020,6:00 PM,Telengana,1,0,0,0,1,0
62,3/7/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,0
63,3/7/2020,6:00 PM,Delhi,3,0,0,0,3,0
64,3/7/2020,6:00 PM,Haryana,0,2,0,0,2,0
65,3/7/2020,6:00 PM,Rajasthan,1,14,0,0,15,0
66,3/8/2020,6:00 PM,Ladakh,2,0,0,0,2,0
67,3/8/2020,6:00 PM,Telengana,1,0,0,0,1,0
68,3/8/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,0
